# MachineName: LAPTOP-FNQAV89R
# UserName   : Abdul Muneem
# Date       : 20210302T141759
# Shrink     : 1
1 -430.00000 -335.00000 25.00000
1 -421.00000 -331.00000 25.00000
1 -421.00000 -331.00000 25.00000
1 -416.00000 -328.00000 25.00000
1 -416.00000 -328.00000 25.00000
1 -413.00000 -324.00000 23.00000
1 -413.00000 -324.00000 23.00000
1 -410.00000 -318.00000 23.00000
1 -410.00000 -318.00000 23.00000
1 -408.00000 -317.00000 23.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -512.00000 -342.00000 25.00000
1 -507.00000 -338.00000 24.00000
1 -507.00000 -338.00000 24.00000
1 -504.00000 -334.00000 24.00000
1 -504.00000 -334.00000 24.00000
1 -500.00000 -330.00000 23.00000
1 -500.00000 -330.00000 23.00000
1 -496.00000 -326.00000 23.00000
1 -496.00000 -326.00000 23.00000
1 -490.00000 -313.00000 22.00000
1 -490.00000 -313.00000 22.00000
1 -480.00000 -301.00000 20.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -397.00000 -393.00000 26.00000
1 -399.00000 -391.00000 25.00000
1 -399.00000 -391.00000 25.00000
1 -404.00000 -390.00000 23.00000
1 -404.00000 -390.00000 23.00000
1 -409.00000 -391.00000 22.00000
1 -409.00000 -391.00000 22.00000
1 -412.00000 -391.00000 21.00000
1 -412.00000 -391.00000 21.00000
1 -421.00000 -393.00000 20.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -179.00000 -477.00000 25.00000
1 -176.00000 -474.00000 25.00000
1 -176.00000 -474.00000 25.00000
1 -173.00000 -472.00000 25.00000
1 -173.00000 -472.00000 25.00000
1 -168.00000 -468.00000 25.00000
1 -168.00000 -468.00000 25.00000
1 -146.00000 -457.00000 24.00000
1 -146.00000 -457.00000 24.00000
1 -123.00000 -445.00000 23.00000
1 -123.00000 -445.00000 23.00000
1 -110.00000 -441.00000 22.00000
1 -110.00000 -441.00000 22.00000
1 -99.00000 -437.00000 22.00000
1 -99.00000 -437.00000 22.00000
1 -91.00000 -434.00000 22.00000
1 -91.00000 -434.00000 22.00000
1 -86.00000 -434.00000 22.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -261.00000 -482.00000 25.00000
1 -255.00000 -477.00000 25.00000
1 -255.00000 -477.00000 25.00000
1 -248.00000 -469.00000 25.00000
1 -248.00000 -469.00000 25.00000
1 -243.00000 -461.00000 25.00000
1 -243.00000 -461.00000 25.00000
1 -235.00000 -453.00000 24.00000
1 -235.00000 -453.00000 24.00000
1 -220.00000 -437.00000 24.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -377.00000 -461.00000 25.00000
1 -365.00000 -465.00000 24.00000
1 -365.00000 -465.00000 24.00000
1 -356.00000 -468.00000 23.00000
1 -356.00000 -468.00000 23.00000
1 -350.00000 -471.00000 23.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -404.00000 -440.00000 25.00000
1 -398.00000 -443.00000 24.00000
1 -398.00000 -443.00000 24.00000
1 -386.00000 -450.00000 23.00000
1 -386.00000 -450.00000 23.00000
1 -369.00000 -457.00000 21.00000
1 -369.00000 -457.00000 21.00000
1 -363.00000 -461.00000 20.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -489.00000 -213.00000 25.00000
1 -483.00000 -205.00000 25.00000
1 -483.00000 -205.00000 25.00000
1 -481.00000 -198.00000 25.00000
1 -481.00000 -198.00000 25.00000
1 -475.00000 -189.00000 25.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -477.00000 -127.00000 24.00000
1 -476.00000 -119.00000 24.00000
1 -476.00000 -119.00000 24.00000
1 -480.00000 -112.00000 24.00000
1 -480.00000 -112.00000 24.00000
1 -489.00000 -92.00000 24.00000
1 -489.00000 -92.00000 24.00000
1 -492.00000 -85.00000 24.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -435.00000 94.00000 25.00000
1 -436.00000 100.00000 25.00000
1 -436.00000 100.00000 25.00000
1 -446.00000 110.00000 25.00000
1 -446.00000 110.00000 25.00000
1 -450.00000 114.00000 25.00000
1 -450.00000 114.00000 25.00000
1 -455.00000 119.00000 25.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -377.00000 75.00000 25.00000
1 -378.00000 90.00000 25.00000
1 -378.00000 90.00000 25.00000
1 -380.00000 97.00000 23.00000
1 -380.00000 97.00000 23.00000
1 -384.00000 119.00000 23.00000
1 -384.00000 119.00000 23.00000
1 -385.00000 123.00000 22.00000
1 -385.00000 123.00000 22.00000
1 -388.00000 130.00000 21.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -15.00000 -423.00000 25.00000
1 -27.00000 -418.00000 25.00000
1 -27.00000 -418.00000 25.00000
1 -37.00000 -415.00000 24.00000
1 -37.00000 -415.00000 24.00000
1 -45.00000 -414.00000 23.00000
1 -45.00000 -414.00000 23.00000
1 -55.00000 -411.00000 23.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -197.00000 -211.00000 25.00000
1 -206.00000 -209.00000 25.00000
1 -206.00000 -209.00000 25.00000
1 -211.00000 -207.00000 24.00000
1 -211.00000 -207.00000 24.00000
1 -216.00000 -206.00000 23.00000
1 -216.00000 -206.00000 23.00000
1 -225.00000 -203.00000 23.00000
1 -225.00000 -203.00000 23.00000
1 -232.00000 -201.00000 22.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -228.00000 -103.00000 25.00000
1 -224.00000 -113.00000 25.00000
1 -224.00000 -113.00000 25.00000
1 -221.00000 -120.00000 25.00000
1 -221.00000 -120.00000 25.00000
1 -216.00000 -133.00000 25.00000
1 -216.00000 -133.00000 25.00000
1 -210.00000 -147.00000 25.00000
1 -210.00000 -147.00000 25.00000
1 -206.00000 -156.00000 25.00000
1 -206.00000 -156.00000 25.00000
1 -204.00000 -159.00000 25.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -190.00000 -177.00000 25.00000
1 -172.00000 -177.00000 24.00000
1 -172.00000 -177.00000 24.00000
1 -159.00000 -176.00000 23.00000
1 -159.00000 -176.00000 23.00000
1 -143.00000 -175.00000 22.00000
1 -143.00000 -175.00000 22.00000
1 -131.00000 -171.00000 21.00000
1 -131.00000 -171.00000 21.00000
1 -122.00000 -168.00000 20.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 341.00000 -285.00000 25.00000
1 337.00000 -293.00000 25.00000
1 337.00000 -293.00000 25.00000
1 329.00000 -312.00000 25.00000
1 329.00000 -312.00000 25.00000
1 323.00000 -321.00000 25.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 65.00000 -213.00000 25.00000
1 71.00000 -204.00000 25.00000
1 71.00000 -204.00000 25.00000
1 74.00000 -198.00000 24.00000
1 74.00000 -198.00000 24.00000
1 77.00000 -193.00000 23.00000
1 77.00000 -193.00000 23.00000
1 78.00000 -186.00000 22.00000
1 78.00000 -186.00000 22.00000
1 81.00000 -179.00000 21.00000
1 81.00000 -179.00000 21.00000
1 83.00000 -175.00000 20.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 41.00000 111.00000 25.00000
1 41.00000 100.00000 25.00000
1 41.00000 100.00000 25.00000
1 39.00000 95.00000 25.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 4.00000 110.00000 25.00000
1 22.00000 126.00000 23.00000
1 22.00000 126.00000 23.00000
1 29.00000 131.00000 23.00000
1 29.00000 131.00000 23.00000
1 35.00000 135.00000 21.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -20.00000 146.00000 25.00000
1 -17.00000 151.00000 25.00000
1 -17.00000 151.00000 25.00000
1 -17.00000 159.00000 23.00000
1 -17.00000 159.00000 23.00000
1 -18.00000 167.00000 22.00000
1 -18.00000 167.00000 22.00000
1 -18.00000 171.00000 21.00000
1 -18.00000 171.00000 21.00000
1 -18.00000 179.00000 21.00000
1 -18.00000 179.00000 21.00000
1 -18.00000 181.00000 20.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -112.00000 481.00000 25.00000
1 -116.00000 478.00000 24.00000
1 -116.00000 478.00000 24.00000
1 -120.00000 474.00000 23.00000
1 -120.00000 474.00000 23.00000
1 -128.00000 469.00000 23.00000
1 -128.00000 469.00000 23.00000
1 -132.00000 466.00000 22.00000
1 -132.00000 466.00000 22.00000
1 -138.00000 461.00000 21.00000
1 -138.00000 461.00000 21.00000
1 -150.00000 451.00000 21.00000
1 -150.00000 451.00000 21.00000
1 -162.00000 442.00000 20.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -18.00000 355.00000 24.00000
1 -19.00000 364.00000 24.00000
1 -19.00000 364.00000 24.00000
1 -19.00000 379.00000 24.00000
1 -19.00000 379.00000 24.00000
1 -19.00000 389.00000 24.00000
1 -19.00000 389.00000 24.00000
1 -20.00000 400.00000 24.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -133.00000 307.00000 25.00000
1 -126.00000 299.00000 25.00000
1 -126.00000 299.00000 25.00000
1 -119.00000 294.00000 22.00000
1 -119.00000 294.00000 22.00000
1 -115.00000 290.00000 20.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -506.00000 411.00000 25.00000
1 -503.00000 404.00000 25.00000
1 -503.00000 404.00000 25.00000
1 -502.00000 399.00000 25.00000
1 -502.00000 399.00000 25.00000
1 -501.00000 395.00000 25.00000
1 -501.00000 395.00000 25.00000
1 -497.00000 388.00000 25.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -300.00000 420.00000 25.00000
1 -296.00000 417.00000 25.00000
1 -296.00000 417.00000 25.00000
1 -291.00000 416.00000 23.00000
1 -291.00000 416.00000 23.00000
1 -288.00000 412.00000 22.00000
1 -288.00000 412.00000 22.00000
1 -283.00000 410.00000 21.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -289.00000 477.00000 25.00000
1 -279.00000 482.00000 25.00000
1 -279.00000 482.00000 25.00000
1 -272.00000 487.00000 25.00000
1 -272.00000 487.00000 25.00000
1 -263.00000 493.00000 23.00000
1 0.00000 0.00000 0.00000
